Web Search interest: psychosis
United Kingdom Past hour

Interest over time
Time,psychosis
2016-01-06-12:29 UTC,0
2016-01-06-12:30 UTC,60
2016-01-06-12:31 UTC,40
2016-01-06-12:32 UTC,100
2016-01-06-12:33 UTC,20
2016-01-06-12:34 UTC,20
2016-01-06-12:35 UTC,20
2016-01-06-12:36 UTC,20
2016-01-06-12:37 UTC,79
2016-01-06-12:38 UTC,78
2016-01-06-12:39 UTC,98
2016-01-06-12:40 UTC,39
2016-01-06-12:41 UTC,39
2016-01-06-12:42 UTC,20
2016-01-06-12:43 UTC,19
2016-01-06-12:44 UTC,32
2016-01-06-12:45 UTC,45
2016-01-06-12:46 UTC,58
2016-01-06-12:47 UTC,39
2016-01-06-12:48 UTC,49
2016-01-06-12:49 UTC,59
2016-01-06-12:50 UTC,20
2016-01-06-12:51 UTC,60
2016-01-06-12:52 UTC,59
2016-01-06-12:53 UTC,59
2016-01-06-12:54 UTC,40
2016-01-06-12:55 UTC,20
2016-01-06-12:56 UTC,59
2016-01-06-12:57 UTC,39
2016-01-06-12:58 UTC,20
2016-01-06-12:59 UTC,29
2016-01-06-13:00 UTC,39
2016-01-06-13:01 UTC,19
2016-01-06-13:02 UTC,78
2016-01-06-13:03 UTC,20
2016-01-06-13:04 UTC,20
2016-01-06-13:05 UTC,20
2016-01-06-13:06 UTC,39
2016-01-06-13:07 UTC,19
2016-01-06-13:08 UTC,19
2016-01-06-13:09 UTC,29
2016-01-06-13:10 UTC,39
2016-01-06-13:11 UTC,19
2016-01-06-13:12 UTC,19
2016-01-06-13:13 UTC,38
2016-01-06-13:14 UTC,19
2016-01-06-13:15 UTC,32
2016-01-06-13:16 UTC,45
2016-01-06-13:17 UTC,58
2016-01-06-13:18 UTC,39
2016-01-06-13:19 UTC,39
2016-01-06-13:20 UTC,38
2016-01-06-13:21 UTC,38
2016-01-06-13:22 UTC,38
2016-01-06-13:23 UTC,38
2016-01-06-13:24 UTC,41
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 
2016-01-06-13:28 UTC, 


Top sub-regions for psychosis
Sub-region,psychosis
Northern Ireland,100
England,57
Wales,57
Scotland,48


Top cities for psychosis
Town/City,psychosis
London,100



Top searches for psychosis
postpartum psychosis,100






